FullName,FilePathString,NbLines,NbTypesUsingMe,NbTypesUsed
Recaptcha.RecaptchaResponse,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Extensions\Recaptcha\RecaptchaResponse.cs,123,2,7
Review,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Packaging\GalleryData.cs,47,3,7
BlogEngine.Core.Data.Models.CommentFilterItem,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\CommentFilterItem.cs,38,3,7
BlogEngine.Core.Data.Models.Lookups,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Lookups.cs,39,3,7
BlogEngine.Core.Data.Models.TrashVM,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\TrashVM.cs,21,3,7
BlogEngine.Core.Data.ViewModels.CommentsVM,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\ViewModels\CommentsVM.cs,16,3,7
BlogEngine.Core.Data.Contracts.IRolesRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\IRolesRepository.cs,58,3,7
BlogEngine.Core.Data.Contracts.IBlogRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\IBlogRepository.cs,47,3,7
BlogEngine.Core.Data.Contracts.IPageRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\IPageRepository.cs,47,3,7
BlogEngine.Core.Data.Contracts.IPostRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\IPostRepository.cs,46,3,7
BlogEngine.Core.Data.Contracts.ITrashRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\ITrashRepository.cs,48,3,7
BlogEngine.Core.Data.Models.TrashItem,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\TrashItem.cs,40,4,7
BlogEngine.Core.Data.ViewModels.WidgetZone,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\ViewModels\WidgetsVM.cs,176,4,7
BlogEngine.Core.DataStore.WidgetSettings,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Extensions\DataStore\WidgetSettings.cs,25,5,7
BlogEngine.Core.Packaging.PackageFile,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Packaging\PackageFile.cs,27,6,7
BlogEngine.Core.Data.Models.CommentItem,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\CommentItem.cs,60,6,7
BlogEngine.Core.Data.Models.TagItem,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\TagItem.cs,22,7,7
BlogEngine.Core.Data.Models.CustomField,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\CustomField.cs,45,12,7
BlogEngine.Core.FileSystem.FileResponse,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\FileSystem\Common.cs,77,0,8
BlogEngine.Core.CustomIdentity,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Security\CustomIdentity.cs,74,1,8
BlogEngine.Core.Role,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Role.cs,76,1,8
